Title,Price,Predicted_Price,Arbitrage
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,78990.0,176339.85504599597,97349.85504599597
Infinix GT Series Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,149990.0,241585.01881613425,91595.01881613425
HP Intel Core Ultra 7 - (24 GB/1 TB SSD/Windows 11 Home) 14-ep1181TU Thin and Light Laptop,84990.0,176339.85504599597,91349.85504599597
HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,89990.0,176339.85504599597,86349.85504599597
MSI Stealth 16 Studio Intel Core i7 13th Gen 13700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,159990.0,241585.01881613425,81595.01881613425
Lenovo Intel Core i5 13th Gen - (24 GB/512 GB SSD/Windows 11 Home/NVIDIA GeForce RTX RTX 3050 6GB) 83D...,94990.0,176339.85504599597,81349.85504599597
HP Victus AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX...,99990.0,176339.85504599597,76349.85504599597
MSI Raider 18 HX AI Intel Core Ultra 9 285HX - (64 GB/4 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA G...,429990.0,502565.6738966874,72575.6738966874
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,38590.0,111094.69127585771,72504.69127585771
HP 255R G10 (2025) Professional AMD Ryzen 3 Quad Core 7335U - (16 GB/512 GB SSD/Windows 11 Pro) 255R G...,38990.0,111094.69127585771,72104.69127585771
Acer Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) Aspire 3 A325-5...,38990.0,111094.69127585771,72104.69127585771
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,104990.0,176339.85504599597,71349.85504599597
ASUS ROG Ally AMD Ryzen Z1 Octa Core Extreme - (16 GB/512 GB SSD/Windows 11 Home) RC71L-NH001W Handhel...,39990.0,111094.69127585771,71104.69127585771
HP 255R G10 (2025) Professional AMD Ryzen 3 Quad Core 7335U - (16 GB/512 GB SSD/Windows 11 Home) 255R ...,39990.0,111094.69127585771,71104.69127585771
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,39990.0,111094.69127585771,71104.69127585771
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,171990.0,241585.01881613425,69595.01881613425
HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,41990.0,111094.69127585771,69104.69127585771
